7/7/2019 | 8/54/20 | Admin Elusive | Igrac: Elusive | Level Vipa: 5
11/1/2020 | 8/42/30 | Admin Pero | Igrac: Pero | Level Vipa: 6
25/1/2020 | 11/47/26 | Admin Pero | Igrac: Filip_Djelic | Level Vipa: 3
25/1/2020 | 11/47/28 | Admin Pero | Igrac: Srdjan_Gotovac | Level Vipa: 3
26/1/2020 | 9/32/7 | Admin Pero | Igrac: Maki_Karleone | Level Vipa: 3
26/1/2020 | 9/33/35 | Admin Pero | Igrac: Maki_Karleone | Level Vipa: 4
27/1/2020 | 15/35/14 | Admin Pero | Igrac: Igor_Nistelberger | Level Vipa: 3
27/1/2020 | 15/35/21 | Admin Pero | Igrac: Njegos_Ristic | Level Vipa: 3
27/1/2020 | 15/49/40 | Admin Pero | Igrac: Black_Boss | Level Vipa: 3
27/1/2020 | 16/1/25 | Admin Pero | Igrac: Will_Rogers | Level Vipa: 3
28/1/2020 | 19/5/26 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
28/1/2020 | 19/46/9 | Admin Pero | Igrac: Stefan_Kralj | Level Vipa: 3
29/1/2020 | 20/22/30 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
29/1/2020 | 20/25/30 | Admin Pero | Igrac: Cika_Kure | Level vipa: 0
29/1/2020 | 20/25/46 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
29/1/2020 | 20/28/59 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
29/1/2020 | 20/46/54 | Admin Pero | Igrac: Cika_Kure | Level vipa: 0
29/1/2020 | 20/53/46 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
29/1/2020 | 21/36/37 | Admin Pero | Igrac: Cika_Kure | Level vipa: 0
29/1/2020 | 21/36/51 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 5
29/1/2020 | 21/42/46 | Admin Pero | Igrac: Cika_Kure | Level vipa: 0
29/1/2020 | 21/43/2 | Admin Pero | Igrac: Cika_Kure | Level Vipa: 6
29/1/2020 | 21/44/10 | Admin Pero | Igrac: Lucas_Pavelic | Level Vipa: 6
30/1/2020 | 21/0/31 | Admin Pero | Igrac: Amir_Kaka | Level Vipa: 3
1/2/2020 | 17/38/53 | Admin Pero | Igrac: Filip_Djelic | Level Vipa: 6
1/2/2020 | 17/53/20 | Admin Pero | Igrac: Radovan_Stevic | Level Vipa: 3
5/2/2020 | 20/48/12 | Admin Pero | Igrac: Jovica_Erkic | Level Vipa: 3
7/2/2020 | 11/4/37 | Admin Pero | Igrac: Jovica_Erkic | Level Vipa: 4
7/3/2020 | 11/4/52 | Admin Pero | Igrac: Pero | Level Vipa: 6
20/3/2020 | 14/9/30 | Admin Pero | Igrac: Pero | Level Vipa: 6
20/3/2020 | 14/9/32 | Admin Pero | Igrac: Pero | Level Vipa: 6
23/5/2020 | 10/42/7 | Admin Pero | Igrac: Pero | Level vipa: 0
21/1/2022 | 12/46/49 | Admin bugarin | Igrac: bugarin | VIP Level: 0
