16/7/2019 | 8/13/3 | Owner Elusive | Igrac: Elusive | Level Admina: 7 | Slot Admina: 1
20/1/2020 | 19/14/10 | Owner Pero | Igrac: Miladin_Miladinovic | Level Admina: 4 | Slot Admina: 2
20/1/2020 | 19/46/57 | Owner Pero | Igrac: Miladin_Miladinovic | Level Admina: 5 | Slot Admina: 2
20/1/2020 | 20/18/37 | Owner Pero | Igrac: FuDji | Level Admina: 7 | Slot Admina: 1
20/1/2020 | 20/39/10 | Owner Pero | Igrac: FuDji | Level Admina: 7 | Slot Admina: 1
24/1/2020 | 19/5/26 | Owner Pero | Igrac: Clark_Rodney | Level Admina: 1 | Slot Admina: 4
26/1/2020 | 14/3/19 | Owner Pero | Igrac: Clark_Rodney | Level Admina: 7 | Slot Admina: 3
26/1/2020 | 14/4/25 | Owner Pero | Igrac: Clark_Rodney | Level Admina: 1 | Slot Admina: 2
27/1/2020 | 15/21/50 | Owner Pero | Igrac: Miladin_Miladinovic | Level Admina: 5 | Slot Admina: 4
2/2/2020 | 17/54/12 | Owner Pero | Igrac: Foxy_Kresimir | Level Admina: 7 | Slot Admina: 5
2/2/2020 | 17/56/49 | Owner Pero | Igrac: Foxy | Level Admina: 7 | Slot Admina: 5
16/3/2020 | 18/41/36 | Owner Pero | Igrac: Pero | Level Admina: 6 | Slot Admina: 1
6/6/2020 | 16/33/46 | Owner Pero | Igrac: Pero | Level Admina: 6 | Slot Admina: 1
